station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
KARO,03:23:39.560,03:23:39.590,0.9862504,0.893
KARO,03:23:39.560,03:23:39.590,0.9862504,0.845
KARO,03:23:39.560,03:23:39.590,0.9862504,0.842
KARO,03:23:39.560,03:23:39.600,0.9862504,0.815
KARO,03:33:36.360,03:33:36.350,0.97802764,0.635
KARO,03:33:36.360,03:33:36.360,0.97802764,0.847
KARO,03:33:36.360,03:33:36.360,0.97802764,0.86
KARO,03:33:36.360,03:33:36.360,0.97802764,0.86
KARO,03:33:36.360,03:33:36.390,0.97802764,0.86
KARO,03:40:15.580,03:40:15.590,0.4050621,0.112
KARO,03:40:15.580,03:40:15.640,0.4050621,0.351
KARO,03:40:15.580,03:40:15.640,0.4050621,0.32
KARO,03:40:15.580,03:40:15.680,0.4050621,0.463
KARO,03:42:01.210,03:42:01.200,0.99190825,0.919
KARO,03:42:01.210,03:42:01.200,0.99190825,0.918
KARO,03:42:01.210,03:42:01.200,0.99190825,0.926
KARO,03:42:01.210,03:42:01.200,0.99190825,0.916
KARO,03:42:01.210,03:42:01.210,0.99190825,0.779
KARO,03:44:19.530,03:44:19.000,0.3994052,0.41
KARO,03:45:29.380,03:45:29.460,0.42033544,0.791
KARO,03:45:29.380,03:45:29.460,0.42033544,0.851
KARO,03:45:29.380,03:45:29.460,0.42033544,0.463
KARO,03:45:29.380,03:45:29.460,0.42033544,0.824
KARO,03:54:23.900,03:54:23.940,0.5041532,0.834
KARO,03:54:23.900,03:54:23.950,0.5041532,0.737
KARO,03:54:23.900,03:54:23.950,0.5041532,0.842
KARO,03:54:23.900,03:54:23.960,0.5041532,0.788
KARO,03:56:23.850,03:56:23.950,0.40364546,0.544
KARO,03:56:23.850,03:56:23.950,0.40364546,0.557
KARO,03:56:23.850,03:56:24.010,0.40364546,0.566
KARO,03:57:41.710,03:57:41.730,0.93457264,0.894
KARO,03:57:41.710,03:57:41.730,0.93457264,0.882
KARO,03:57:41.710,03:57:41.730,0.93457264,0.88
KARO,03:57:41.710,03:57:41.730,0.93457264,0.882
KARO,03:57:41.710,03:57:41.730,0.93457264,0.849
KARO,09:03:19.810,09:03:19.800,0.48255154,0.359
KARO,09:03:19.810,09:03:19.810,0.48255154,0.705
KARO,09:03:19.810,09:03:19.840,0.48255154,0.879
KARO,09:21:26.100,09:21:26.050,0.42615244,0.572
KARO,09:21:26.100,09:21:26.130,0.42615244,0.655
KARO,09:21:26.100,09:21:26.130,0.42615244,0.547
KARO,09:21:26.100,09:21:26.130,0.42615244,0.548
KARO,09:30:20.290,09:30:20.010,0.3980786,0.273
KARO,09:30:20.290,09:30:20.440,0.3980786,0.223
KARO,09:35:11.090,09:35:11.110,0.98919594,0.902
KARO,09:35:11.090,09:35:11.110,0.98919594,0.9
KARO,09:35:11.090,09:35:11.110,0.98919594,0.905
KARO,09:35:11.090,09:35:11.110,0.98919594,0.893
KARO,09:49:06.920,09:49:06.930,0.4962353,0.42
KARO,09:49:06.920,09:49:07.000,0.4962353,0.635
KARO,09:49:06.920,09:49:07.050,0.4962353,0.65
KARO,09:52:25.390,09:52:25.390,0.49544504,0.41
KARO,09:52:25.390,09:52:25.400,0.49544504,0.441
KARO,09:52:25.390,09:52:25.400,0.49544504,0.912
KARO,09:52:25.390,09:52:25.400,0.49544504,0.586
KARS,00:16:20.490,00:16:20.000,0.7520437,0.871
KARS,00:16:20.490,00:16:20.040,0.7520437,0.229
KARS,00:16:20.490,00:16:20.500,0.7520437,0.463
KARS,00:16:20.490,00:16:20.500,0.7520437,0.332
KMRS,09:01:53.490,09:01:53.870,0.3004953,0.238
KMRS,09:01:53.490,09:01:53.890,0.3004953,0.339
KMRS,09:01:53.490,09:01:53.890,0.3004953,0.384
KMRS,09:01:53.490,09:01:54.000,0.3004953,0.772
KMRS,09:03:36.600,09:03:36.540,0.38078326,0.51
KMRS,09:03:36.600,09:03:36.560,0.38078326,0.222
KMRS,09:03:36.600,09:03:36.660,0.38078326,0.294
KMRS,09:04:38.550,09:04:38.560,0.67395115,0.575
KMRS,09:04:38.550,09:04:38.590,0.67395115,0.541
KMRS,09:04:38.550,09:04:38.660,0.67395115,0.479
KMRS,09:05:22.320,09:05:22.350,0.9466835,0.801
KMRS,09:05:22.320,09:05:22.350,0.9466835,0.888
KMRS,09:05:22.320,09:05:22.350,0.9466835,0.88
KMRS,09:05:22.320,09:05:22.350,0.9466835,0.881
KMRS,09:05:55.290,09:05:55.310,0.93186605,0.672
KMRS,09:05:55.290,09:05:55.310,0.93186605,0.728
KMRS,09:05:55.290,09:05:55.320,0.93186605,0.725
KMRS,09:07:46.400,09:07:46.360,0.3154556,0.472
KMRS,09:07:46.400,09:07:46.400,0.3154556,0.172
KMRS,09:07:46.400,09:07:46.400,0.3154556,0.206
